Metric		Current
TOTAL_NUMBER_OF_FILES		14
NUMBER_OF_FILES_MAIN		4
LINES_OF_CODE_MAIN		304
NUMBER_OF_FILES_MAIN_EXT_JAVA		4
LINES_OF_CODE_MAIN_EXT_JAVA		304
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		12
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_XML		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_XML		12
NUMBER_OF_FILES_OTHER		0
LINES_OF_CODE_OTHER		0
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SRC		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SRC		304
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SRC_EXT_JAVA		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SRC_EXT_JAVA		304
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		4
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		304
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		4
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		304
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		3
LOW_RISK_FILE_SIZE_COUNT		0
MEDIUM_RISK_FILE_SIZE_COUNT		1
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		90
LOW_RISK_FILE_SIZE_LOC		0
MEDIUM_RISK_FILE_SIZE_LOC		214
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		25
LINES_OF_CODE_IN_UNITS		219
LINES_OF_CODE_OUTSIDE_UNITS		85
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		88
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		40.18
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		19
UNIT_SIZE_LOW_RISK_LOC		76
UNIT_SIZE_LOW_RISK_PERCENTAGE		34.7
UNIT_SIZE_LOW_RISK_COUNT		5
UNIT_SIZE_MEDIUM_RISK_LOC		0
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_HIGH_RISK_LOC		55
